,text
126,pete buttigieg reportedly called joe biden before dropping out but called the wrong number here is what he said… 
127,maybe biden arraigned for some high paying positions on advisory boards for klobuchar and buttigieg to clinch their endorsement 
128, yes and i like elizabeth warren a lot too but pete is throwing his support to biden and will endorse… 
129,this article is refreshing it mostly reflects how i feel about pete 
130,joe scarborough likens buttigieg to george washington and frank sinatra topbuzz 
131,"trump accuses buttigieg klobuchar of 'quid pro quo' with biden via 
trump would know about quid pro quo"
132,pete buttigieg dropped out of the presidential race and homophobia helps explain why 
133,biden nabs klobuchar buttigieg backing on super tuesday eve (from ) 
134,here’s the trouble with early ballots 
135, pete buttigieg had more delegates than warren and he dropped out why is bernieendorsewarren trending
136,breaking: dead in the us from coronavirus: tune in & learn how islam has been invading europe for over years… 
137, i get it we all want to win but it’s a different game for her with buttigieg and klobuchar s… 
138,does buttigieg think he will get a cabinet post if biden were to win klobuchar is looking for the vp spotmaybe 
139,pete buttigieg drops out of race what's next 
140," ""buttigieg fix is in"""
141,pete buttigieg and amy klobuchar are throwing their support behind joe biden after dropping out of the race th… 
142,"""they are really getting nervous that working people are standing up""

sen bernie sanders claims ""there is a mass… "
143, pete buttigieg just found his new job
144,my biggest regret is not being responsible for buttigieg's failure
145,"buttigieg and klobuchar to endorse joe biden; harry reid also backs former vice president 

corn pop is the democra… "
146,"i'm almost through cutting onions and get that vile creature outta our house

critics saw buttigieg as a sellout w… "
147,nolte: pete buttigieg's failed campaign was built on hate and lies 
148, why did bernie have grey hair years ago jesus—he was buttigieg age in this
149,i don’t know how to pronounce buttigieg and at this point i’m afraid to ask
150,"mike bloomberg says he spoke to pete buttigieg and amy klobuchar: ‘i’m in it to win it’ | nbc news
"
151,honestly can not think of anyone's supporters i have liked more at baseline than buttigieg supporters (i like a lot… 
152,report: pete buttigieg likely to endorse joe biden via 
153, with klobuchar and buttigieg out warren should get % in most places
154, _due dude soon as that video is up i will be sharing it was legit crazy moore wa… 
155,buttigieg klobuchar will endorse biden in dallas tonight; here’s what that means for the race 
156, haha tbh i liked her patter more than buttigieg (mentioning her service… 
157, i knew buttigieg had no chance because gmail didn’t recognize the spelling
158,"i keep seeing posts claiming that buttigieg & klobachar dropped out to ""steal"" the primary from bernie if their vo… "
159, biden for prez warren vice prez buttigieg for secretary of state
160," presidential election news update🗞:
klobuchar buttigieg set to endorse biden after dropping out
election… "
161,buttigieg fell short of his goal to win the democratic nomination and defeat president donald trump but his candid… 
162,💬amy klobuchar pete buttigieg rally behind joe biden on eve of crucial super tuesday contests … 
163,i figgered all along that kobuchar and buttigieg were just distractors introduced to try to weaken sanders in favor… 
164,joe biden says if he wins he'd ask pete buttigieg 'to be part of an administration' topbuzz 
165,"oh please 🙄
quiter was not in the race long enough ( of states) for homophobia to be an impact

"
166,"jeez buttigieg steyer and klobuchar are out and chris matthews just quit ""hardball"" and walked out after his mi… "
167, pete buttigieg to replace him
168,pete buttigieg and amy klobuchar committed political suicide by dropping out of the race before super tuesday and endorse creepy joe biden
169, buttigieg and klobuchar to endorse biden • opinion: klobuchar's exit is a strong 
170,analysis: welcome to the grand old democratic party 
