,text
157,honestly my takeaway from this thread is that white liberals can’t be trusted… whether they voted for biden butti… 
158, that would be woodrow wilson when he ran but… 
159, was it a flip from bernie or more that biden got more bloomberg klobuchar & buttigieg voters
160," every news show tonight was bent over backwards to provide bernie with ""free press"" because he snivelle… "
161, that’s ol black mtn buttigieg for ya
162,i’m curious about how much money and the paid pete buttigieg and amy klobuchar to drop out and endor… 
163," i like buttigieg's answer to what he would do if trump refused to leave
“i guess if he’s willin… "
164,": obama>obama
: obama>obama
: o'malley>clinton
: buttigieg>biden

should be noted that some of… "
165, “no longer competing with buttigieg” that was a day before super tuesday he had no money heading i… 
166, i like how this article explains it 
167, please stop this biden won va especially northern virginia for one reason pete buttigieg his sup… 
168,bernie sanders hillary clinton joe biden michael bloomberg tom steyer aileen wournos kamala harris corey booker pet… 
169, sanders dropping out is not going to change the rift in the democ… 
170," the establishment is:
the msm full throttl… "
171,after buttigieg bloomberg klobuchar and o’rourke endorsing biden this gif reminds me berniesanders… 
172,_lefty _slinky and trump can’t pronounce simple wor… 
173,pete buttigieg’s campaign normalized being gay and openly christian lgbt advocates say the washington post 
174,"it's the first time i really listened to ""high hopes"" tonight and it's hilarious how buttigiegcore the lyrics ""mam… "
175,what’s important to consider in is not who is most likely to win and therefore fill rbg’s seat but who suppo… 
176,with buttigieg and klobuchar out the odds that coronavirus does a clean sweep of the presidential field is starting to look pretty good
177,_lefty _slinky brandon was referring to buttigieg'… 
178, _manne it's hard to put a number on it but i find amy klobuchar + times more charismatic than p… 
179,"buttigieg is like me trying to parrot a scandinavian accent after i watched vikings for the first time 

only i do… "
180,"i’m still in shock that the dnc and the media decided to prop up joe biden

they could have picked buttigieg and t… "
181,it is not sleepy joe the dnc or buttigieg and klobachar who screwed bernie over this week it's pochahontas and s… 
182, oh for pete buttigieg’s sake he doesn’t remember what day it is how will h… 
183,please news media the klobucharbuttigiego'rourke endorsement of biden is not the avengers assembling it's not even the justice league
184, “after i volunteered for peter buttigieg’s campaign you wouldn’t believe what happened”
185,_morison i'm impressed but you know i'm not the final buttigieg it's all about how you cast(ro) the perfect l… 
186,i had to stop watching and listening to crooked media podcasts cause they just didn’t get me so this is nice to hea… 
187," _capt too late they insulted us so much
see wht happened everybody voted for… "
188,truth hurts you coulda had a buttigieg 😭 
189,joy doesn’t support women especially women who don’t agree with her bias ask the black women of south bend and o… 
190,_ yea the guy with the most billionaire donors superpacs and the obvious support of the dnc was bro… 
191, the accurate word is momentum cause it could change next week first it was buttigieg in iow… 
192, buttigieg changes how his name is pronounced based on what he thinks people like better so there'… 
193, agreed i’m grieving buttigieg hard but better biden than trump
194,this account will also serve that purpose but it is not a joe biden grassroots account it is a pete buttigieg gra… 
195,_cybergod _gf ah you've lost so now you cope by projecting your semitic ancestry on to… 
196, lots of people decided at the last minute after klobuchar and buttigieg endorsed
197,scott piercy shares homophobic slur toward mayor pete buttigieg support for government conspiracy theory on instag… 
198,_nor _ why do not you actually listen biden buttigieg klobuchure have all laid it ou… 
199, i think you mean delete your own tweet bloomberg was pressured to wrap it upbuttigieg a… 
200," 

pete buttigieg’s exit means democrats want to stop bernie sanders but are they too late

"
201, i do not know if calculating buttigieg and klobuchar really counts
202,_siskind just pretend he’s pete buttigieg but in an older body and straight 🤷🏻‍♂️ lol
203, i used to like her show very much but her horrible treatment of… 
204, _barkie _kng it’s one of the reasons i had a hard time getting behind… 
205, i hope biden warren klobuchar and buttigieg show up at her town halls to give her a boost up she’s amaz… 
206,"if bernie was so damn terrific why did the other candidates flock to biden kiobuchar and buttigieg are not the ""democratic establishment"""
207,_kay but neither does the entire establishment comin… 
208,not all of warren’s votes would go bernie seriously i knew ppl deciding between her and buttigieg ffs
209,"it's been three days since pete buttigieg dropped out of the race and i still have that damn ""high hopes"" song stuck in my head"
210," now you're sounding like pete buttigieg/msnbc with that ""burn down half the countr… "
211, i wish that was true but warren already declared herself on this… 
212,this one is a must read for any petebuttigieg supporter teampete teamjoe 
213,"_quon both of them were far more charismatic (in their day) than anyone running

warren is a… "
214,"look big structural bailey warren’s last public appearance before going missing

pete buttigieg told the warren f… "
215,rigged in that it was by design (not serendipity for sure) having buttigieg & klobuchar dropout virtually at the s… 
216, more ok that's what up to who all fund & support biden the other are and are they the sa… 
217, do not leave out pete buttigieg as biden's vp pete has managerial experience as having been a mayor… 
218,"according to amy goodman of ""biden’s strong showing came after the democratic party establishment c… "
219, _slinky while buttigieg originally supported some progres… 
220, hey there michaelmoore stfu go home take a bath try a shamp… 
221, _slinky buttigieg the guy was literally running on word… 
222, that if u attack bidenshow his weaknesses & he doesn’t have the delegates… 
223,i wanna shout out to cant say i was always in her corner but she worked her butt off way harder & smart… 
224," because buttigieg is owned by wall street

we don’t owe politicians respect when they want to ruin our lives"
225,i have never supported buttigieg or klobuchar but dropping out right b super tuesday is a low shitty move bc that… 
226, the same polls show that buttigieg and klobuchar voters go to sanders more than bi… 
227, he will he just added the bulk of klobuchar buttigieg and bloomberg… 
228,more than thousand palm beach county votes have already been mailed and received in the democraticprimary… 
229, there was no biden surge it was manufactured surge by forcing out buttigieg and klobuchar they end… 
230, ooo intriguing i agree with biden sanders yang and buttigieg (maybe) what would you do differently
231,pete buttigieg can not say the fslur
232, so in this story does lizza really think the “top donors” that the buttigieg folks were briefing was t… 
233, _slinky oh nice i would love for buttigieg to come back
234, i will happily down vote blue all the way just not biden anyone from buttigieg to klobuchar but not him
235,"this is useful information 
supertuesday
nosurrender

"
236,golfer who made homophobic jibe at pete buttigieg makes apology so meagre he shouldn’t have bothered 
237, _slinky neither will trump they are both falling apart t… 
238,"well said go with your gut joe petetojoe
"
239,"trump calls for buttigieg & klobuchar to be “impeached” over biden endorsements
usa republicans 
“quid pro quo… "
240,"super tuesday to 
looking at two lanes centrists vs progressives

centrists (biden bloomberg buttigieg clob… "
241,"just saying but a sanderswarren ticket is my dream pick 

tho a sandersbuttigieg ticket isn’t too bad either"
242, tbh baldwin has a bigger chance to be the first gay president than buttigieg
243,“i firmly believe that in these years in our time we can and will make american life in politics more like what i… 
244, the obvious question: will he smell buttigieg’s hair
245, breaking: pete buttigieg has also contracted the coronavirus
246, remember that the political compass defines left and right in strictly economic terms they're not sa… 
247, it’s so odd minnesota massachusetts maine etc biden never even set foot in several places… 
248," ""the primaries have yet to demonstrate that sanders can generate the hugely expanded turnout his campai… "
249, _john that was when klobuchar bloomberg and buttigieg… 
250, nope he gets % the rest go to biden buttigieg and klobuchar (which is basically bid… 
251,"trump should be in prison
"
252,"biden‘s supporters:

 beto o’rourke 
 pete buttigieg 
 amy klobuchar 
 cher
 mike bloomberg

sander’s supporte… "
253, dude did not bother to show at bloody sunday damn buttigieg showed up and he had already dropped out
254,_guttenberg buttigieg should go the congress route it would do him good to get the experience
255, vp stacy abrams treasury sec elizabeth warren defense sec pet buttigieg… 
256,"""people are pretty jazzed” said a former buttigieg donor “it's been memes and biden gifs all day""… "
257, _slinky did you happen to notice that klobuchar and butti… 
258, what more can he do except tell his supporters to stop and he has a great point… 
259,"if true would this surprise anyone
watch: biden admits he discussed a role in his administration for buttigieg… "
260,_sam _melbin biden accused him of ageism then said he'd let voters decide if he's in cognitive decline… 
261, _ my dad and i were thinking kamala as ag klobuchar as vp warren as treasury buttigieg as d… 
262,i miss pete buttigieg already 
263,"confirming that the fool does not know what the word impeachment means

"
264,you may like pete buttigieg now but to those who dismissed his candidacy and treated him like shit i will never f… 
265,"learn & adapt or fall
back we move forward
🌬 🌊🌊 🌬 🌊🌊

wapo: dem's learned from 
biden bestowed the highest co… "
266,__elliot _cohn seems like a strong warren endorsement would help sanders tremendously… 
267,“instead we praise ⁦⁩ today for reminding us of something all too often lacking in today’s politics… 
