,text
369, knives out for the sanders campaign biden gets endorsements from buttigieg klobuchar and now beto… 
370, it’s been remarkable i think i’ve met more people (before last weekend) who were for klobuchar warren… 
371,in a swift turn of events both pete buttigieg and amy klobuchar quit the presidential race and decided to endors… 
372, between buttigeig klobuchar and reid; i really can not see how this is not the case
373,"scumbagtrump says buttigieg and klobuchar ""should be impeached"" for making ""quid pro quo"" with biden: ""they made a… "
374,can not believe pete buttigeg beto o'rourke and amy klobuchar all said a woman can not be president
375,buttigieg & klobuchar dropping out has boosted biden in california considerably compared to even a week ago sudden… 
376,buttigieg & klobuchar endorsing biden says it all for why they were never the right candidates these folks who th… 
377,so on the same day as the gets buttigieg and klobuchar to drop out to clear the way for the entire democrat pa… 
378,imagine early voting for klobuchar or pete or warren
379, pretty sure harris warren and klobuchar all ran to both replace trump but also to get the… 
380, … 
381, add another one to the list here 
382,_s i just want to see klobuchar dancepole dancejust once
383,former presidential candidates beto o’rourkeamy klobuchar and pete buttigieg are planning to endorse joe biden
384,following biden's victory in southcarolinaprimary south carolina pete buttigieg dropped out and then amy… 
385, _edit yeah but she's from minnesota i love harris but she's in ca so that calls for a bidenharris ti… 
386, you bernie sanders are the worst thing that has happened to the democratic party ever… 
387, joe is most closely aligned with both pete and amy’s policies i love amy klobuchar perhaps she will… 
388,beto buttigieg and klobuchar all endorse biden 😱oh lawdy berniebros gonna get triggered tonight 
