,text
177,_popoli warren stays in the race and absorbs votes from the progressive base obviously not every warren vote w… 
178,_lady_pls well which is why i say that i have start seeing the feverish defen… 
179, then most of those candidates joined forces the day before to promote biden… 
180,bernie sanders is doubling down on everything and that is the right move
181, i think the exit polling regarding policy position popularity favored sanders' actual stances not biden'… 
182, warren was my first choice and i would choose biden over sanders all day every day i would be very d… 
183,i know i don’t have a big voice but i endorse bernie sanders
184,“i look forward to a serious debate on the serious issues facing this country” bernie sanders says of joe biden… 
185, shut up democrats are supporting biden because sanders isnt a democrat
186,the numbers leave a lot out we talked to about how sanders's work in the senate is not quantifiable wh… 
187, if it’s sanders/warren i won’t be surprised
188," he does not ""all lives matter"" latinex issues the way he does blac… "
189, with american politics in its current state how much faith do you have that either warren… 
190,"
i’m attending bernie sanders for michigan’s event “rally in detroit with bernie sanders” – sign… "
191,_mariotti he’s trying to boost sanders any way he can it’s so obvious and pathetic funny sanders doesn’t… 
192, _uhc add % of warren’s votes to sanders votes in every state and then look at the map again… 
193, bernie sanders campaign wednesdaythoughts 
194," how long will you allow sanders to trash us
enough
denounce this crap"
195,i'm a proud warrendemocrat and will vote for her if she's still on my ballot in june but i will vote blue in nov… 
196,but what is the case that sanders would be a good president — managing administering governing staffing the mun… 
197, its a lie sanders did not contest the convention
198,these idiots spent the last years bashing democrats attacking strangers on social media and threatening to hold… 
199, it’s all fun and games until the media brings their games to sanders’ backdoor now it’s venom 
200, is it safe to say that the majority of these people plan to vote against trump in the g… 
201,"_writes i can not tell if you are kidding 
this genuinely would be a good thing for the sanders campaign i th… "
202,sen campaign update – live online here: 
203,"every single time that bernie sanders says that the ""establishment"" is trying to stop him he cements the idea ther… "
204," bernie sanders complaining about ""venom"" is like the meth dealer complaining about the pot dispensary across the street"
205,"sanders slams ""insiders"" and ""corporate world"" for picking their preferred candidates over candidates like him"
206,i unfollowed ross douthat on twitter after he said sanders was going to be the nominee because i was tired of his b… 
207,"sanders on what bloomberg brought to the democratic primary: ""he certainly brought a lot of money into this race"" lol"
208, is really good she’s tough fair but i wish her framing of the climatecrisis wasn’t ‘sanders support… 
209, sounds like she'll endorse sanders wants a deal but is not getting one
210,sanders is turning into trump he can not win so it is the media's fault 
211,bernie sanders better get the opportunity he deserves
212,thanks for lying for biden and killing bernie sanders you still loose it all
213,not counting out any candidates still in the race if this contest does shape up over the coming weeks to be a head… 
214,analysis: it's a bidensanders race after bloomberg exits 
215,bernie sanders said he hadn’t heard that bloomberg had dropped out
216, under serious scrutiny for the first time in four years sanders juggernaut falls apart in less than hours
217, at this point i think she should back out and endorse sanders
218, let me laugh at you 😂😂 you do not want to accept reality if you are so sure about what you are sa… 
219, lol but when the establishment dems attack bernie's credibility and record that's just politics ri… 
220,_char the lies continue s sanders has no shame
221,do you think bernie sanders can beat donald trump in florida and pennsylvania two states trump narrowly won in … 
222, why is that is because biden has great policies or because people are afraid of sanders my point is in o… 
223,"sanders says he did not know bloomberg dropped out of the race ""the first i've heard of it"" he says at his presser"
224,“i look forward to a serious debate on the serious issues facing this country” bernie sanders says of joe biden… 
225, … 
226,in december sanders was nd choice for % of warren supporters but % chose biden and % buttigieg
227, cnn's michael smerconish with coronavirus chris matthews with the nazi comparison 
228,"would i like sanders to win the nomination sure 
do i like his campaign people no
do i want him to get the nomin… "
229, bernie sanders does not beg for support who would've thought his ac… 
230,sanders keeps proving why he keeps losing keep running your mouth old man berniesanders
231,the only bs i fuck with is bernie sanders 😤
232, i really like elizabeth warren but that does not translate to a bernie vote sanders is too angry… 
233, here's the facts mike a president is unable to pass any part of their agenda… 
234,_r__v__r i mean that's the actual question that you and other sanders supporters need to ask if… 
235, sad that didn’t finish stronger in ca but biden is more likely to beat trump than sanders
236, sanders was a beast just often injured
237,bernie sanders' new plan: get joe biden to debate him one on one on issues because he knows joe biden has cognitive… 
238, trump also had much more voter support than sanders ended up having if sanders had done… 
239,angry & sour sanders is on cnn attacking biden accusing biden of accepting money from billionaires bernie spe… 
240,"""i think if you do not reject at least part of what your parents teach you you're not a real kid you're just like… "
241, she says she’s a capitalist that’s a four letter word for most bernie brolsheviks she’s b… 
242,bernie sanders never knew what hit him 
243,"i’m gonna test something just by how many views this tweet gets 

bernie sanders 

that’s it that’s the whole t… "
244, sanders didn’t beat trump in any swing states because he wasn’t in the real election i don… 
245,"sanders vs trump according to my own predictions
notes: while wisconsin ohio and arizona were hard choices i thin… "
246, _siskind even if it was a sanders/warren ticket
247, sanders could sure use her voter base how long will she stay in
248, no i see how you think it looks i just think it's stupid and sexist that you see it t… 
249," forgot the link againsorry
"
250,") it's not like this has not been the nominate issue so far

) i'm not sure this will go the way sanders thinks it… "
251,_jr white people can not look beyond their own comforts to support sanders they want the status… 
252,“i look forward to a serious debate on the serious issues facing this country” bernie sanders says of joe biden… 
253, apparently the dnc is changing the rules again now that gabbard got a delegate if… 
254," it *would* be nice for the older candidates to clear out for warren & gabbard

but sanders has a stro… "
255,_ifa you honestly believe that after all of the hate that the sanders campaign and his… 
256,sanders refusing to say that a second vote with superdelegates that does not award him the nomination is legitimate… 
257,michele kearney's snuffysmith's blog: bernie sanders has an audacious—and hugely expensi 
258, pathetic here we go again trump i mean sanders blaming everyone and anyone now the big… 
259, cutting from bernie sanders' post super tuesday news conference after two minutes to rob reiner'… 
260, we either need to be able to work with rep senators or get rid of the filibuster which i hav… 
261,"to my canadian friends and canadian twitter followers

bernie sanders is a marxist and marxism has killed sixty… "
262, _aria_blooms this overlooks swaths of the electorate not voting in the primary whether due t… 
263," sanders is my first choice 
warren is a close second 
biden
i'm just glad bloomberg apparently got bored and wandered off"
264,sanders has harshly blasted the media for forever but they only seem to get upset when trump criticizes media for b… 
265, let me guess you are a sanders supporter conducting outreach
266, sanders made it obvious in who he was an ego driven no@ body wanting to be somebody yrs sit… 
267, ) joe biden who i disagree with on many issues would at least be a… 
268,"super tuesday results: joe biden wins maine primary defeating bernie sanders vox 
yahoo joe biden wins maine"
269,bernie sanders went into super tuesday the frontrunner but it was joe biden's night here are five takeaways on w… 
270,"today on former st louis democratic party dog catcher harvey smithjones says joe biden is ""a great guy""… "
271,sanders had not heard that bloomberg had dropped out until just now
272,sanders says he still believes the candidate who goes into the convention with the most votes and if superdelegates… 
273,sanders can’t lead the democrats if his campaign treats them like the enemy via 
274,_moonmaster _head _train he beat sanders who was expected to roll him in a lot of places… 
275,sanders says he maintains his position that the person with the most delegates (plurality or majority) should be the democratic nominee
276," i voted for and i've heard her campaign's discussing a ""reassessment"" i'm worried that i… "
277, speaks to a different point you're suggesting biden's win in t… 
278, jim is a top qb when he has a receiver that can take the load off in games with… 
279,the capitalists in whose hands the state power now rests desire a parliamentary bourgeois republic that is a st… 
280,i do not know who needs to hear this but bernie sanders has essentially been running for president since it's… 
281,sanders looks to take charge on super tuesday biden hopes to catch up 
282,"sanders: ""joe is going to have to explain to the american people who are so tired of endless wars which have cost… "
283,"sounds like sour grapes to me i prefer a candidate who can lose gracefully
bernie sanders unloads on joe biden as… "
284," as much as i despise caine he at least did something with his life 

sanders is a… "
285, so the media by talking about biden made sanders young base not show up
286,a great point warren’s chances at the presidency may now be slim but she singlehandedly prevented another entitle… 
287, i'm happy that sanders was defeated as i wrote the other day whoever stands against israel does not have a good ending
288, then i would support sanders
289,all the people declaring sanders' campaign dead were declaring biden's dead a month ago from a campaign perspectiv… 
290, stay in this please if you don’t please do not endorse but especially don’t endorse bernie sanders
291,coronavirus the media versus bernie sanders trump’s socalled ‘peace plan’ for the middle east and modi’s antim… 
292," you are losing it

because that would be lie 

sanders is not the moderate and people will laugh at t… "
293,"we are so joyful w/biden’s sweep of delegates

sanders voted against russian sanctions

biden bills passed… "
294, i voted warren if she decides to suspend i'm still proud of my vote and my support will go to bi… 
295,many of these same voters would go on to overwhelming support clinton in sanders does a good job of putting h… 
296, of course he does sanders also has the worst record of teaming and working with others in the senate su… 
297,sanders has been a regular fixture on “corporate media” outlets cnn and msnbc for four years with town halls and gu… 
298,i love elizabeth warren and bernie sanders and i’m % ok with joe biden kicking the ¡+ out of donald f¥€£¡n trump
299,sanders says the dnc the insiders and the corporate will see a candidate who has popular vote but then pick anothe… 
300, i'll vote for sanders whether he is the democrats' nominee or not none of the remaining democrats remote… 
301, i'm not a bernie hater but the numbers seem to say otherwise bernie needs to prove he… 
302, how is bernie going to win if the young people do not want to get out and vote or we will be stuck with… 
303,this is what fucked sanders over in 
304, he had years after losing to hillary and why exactly sanders didnt try to gain aa support
305,hey everyone this is hard for me to do but i know it’s for the best i am dropping out from the election i fully… 
306,why did my dad just try and trick me into believing that colonel sanders is bernie sanders’ older brother
307,bernie sanders decisively won the democratic nominating contest tuesday in utah following a day of voting that set… 
308,"cnews 
democrats especially african american democrats are terrified of what happened to the labour happening t… "
309,_esq sanders makes democrats' flesh crawl
310, he did not differentiate himself which bernie sanders are you talking about
311,how long until barrack and hillary start campaigning for biden against sanders
312, _siskind i would support sanders first over biden but unless the sanders campaign changes gears they a… 
313," replace ""sanders"" with ""biden"" and ""warren"" with ""sanders"" and then we're on to something"
314,sanders called elizabeth warren a few hours ago and talked about her next moves sanders says he wants to give her… 
315,where the democratic presidential front runners stand on education uncategorized feedly
316,watch: democrats sanders and warren’s plan to get the youth vote by promising to cancel student debt will ‘backfire… 
