,text
137,"and here i was wondering how the dnc was gonna screw bernie once again and then this bomb dropped

and the circu… "
138,_zeug biden won mn not because of the warren vote but because what klobuchar says goes up here k… 
139,"black lives matter broke the back of the amy klobuchar campaign mnleg
ados "
140,_polling buttigieg and klobuchar both gave the nod to biden
141, bruh idontlikejoebiden either but buttigieg got way more… 
142, great interview sen klobuchar ran a great campaign
143, oh biden would never do that his donors want some piece of human khaki who is well trusted maybe john kerry or amy klobuchar
144," i have to give amy klobuchar credit
she is the soul of discretion and she is a pleasantly posi… "
145, women want a woman for the vp pick and not klobuchar we want warren progressives and middle of… 
146,_siskind ma voter klobuchar got out before we had a chance
147, my husband and i were saying biden/klobuchar after the dem founders day event years ag… 
148, i think both will pick a woman % and much as i want stacey abrams i suspect biden will pick kl… 
149, kamala harris elizabeth warren or amy klobuchar works i think it should be a woman
150, this is obviously looking at races where bloomberg was still actively running and pete and klobuch… 
151, amy klobuchar was just one msnbc lawrence’s show what a classy lovely smart women
152, _vids it’s not true the numbers show that klobuchar/butteigeig didn’t have paths forward… 
153, klobuchar surprised me hopefully she will run again i’m glad she will still be in congre… 
154,is lawrence o’donnell anti semitic watching him & amy klobuchar pan bernie is not amusing but amy if you recall… 
155,so refreshing to listen to amy klobuchar's interview with lawrence tonightnight and day from bernies with maddow
156,_siskind i agree but all i heard klobuchar say was that she’s won everything and she’s the one… 
157,"could there be the following:
biden/klobuchar
sanders/warren

both are old (emphasis on old) white guys so "
158,northland analysis: biden can thank klobuchar clout 
159," klobuchar was stronger than warren 🤔

and bloomberg

the national polls had warren an… "
160,"any klobuchar is on lawrence o'donnell stumping for joe biden

two days after dropping out and she is behind joe… "
161, _sipher and how much did combined biden klobuchar beto and pete spend in ma… 
162,sen klobuchar i would like to ask a big favor i supported you and i am also supporting theresa greenfield who is… 
163,amy klobuchar has to be the most annoying candidate ever in her nine millionth appearance on 
164,_jollett same but klobuchar
165," always great to see amy klobuchar i bet it isas you say great to be home
thanks for endorsing "
166, what’s happening to him now has lot to do with clyburn & duckworth along with klobuchar & buttigieg but… 
167," a woman or it could be another miserable years 
amy klobuchar 
stacey abrams 
gretchen whitmer 
michelle obama"
168, i voted in person early in virginia as a disabled senior i was still undecided as i looked at the bal… 
169,senator schumer has had a long career in leadership and he has done many remarkable things for our country but it… 
170,sen klobuchar: once i gave a speech in the empty chamber afterwards i'm walking out & my phone rings it was joe b… 
171,updated ~ presidential election democratic convention nominating process… 
172," i wonder what thinks about what happened to klobuchar this year

if he does not like klobuch… "
173,can i love amy klobuchar and believe at the same time that she shouldn’t be president
174, bloomberg’s billions the sudden ending to buttiegeg klobuchar campaigns and giving their support to… 
175, mn's blue gov will absolutely appoint a dem to replace klobuchar plus she he… 
176,"klobuchar just said that voters turned out yesterday to stop ma and the green new deal 

guess she missed the exi… "
177, lol there's no worse offender than this than klobuchar and… 
178, senator klobuchar just did a great interviewjob well done
179, i dont know about klobuchar but buttigieg has changed the pronunciation of his name several times… 
180, i like kamala but she ran a poor campaign for potus she was all over… 
181,amy klobuchar in fargo cuz brainerd 🙌🏽
182, this i'm thinking klobuchar
183,"my top vp choices
 amy klobuchar 
 stacey abrams 
 susan rice"
184,bernie sanders is my dad elizabeth warren is my mom joe biden is my grandfather bloomberg is my uncle tulsi gab… 
185,hey klobuchar you'te sold out to billionaires how much is biden paying you
186,klobuchar’s affection for joe is genuine
187, also that moment when joe literally won white old minnesota… 
188, _milano the momentum is not real the momentum was caused by buttigieg and klobuchar droppi… 
189,i am going to start something here that may not happen at all if biden wins the nomination who will he pick as a… 
190,"_next senator klobuchar said she had not discussed her endorsement with other candidates 

"
191, _dub_abides biden should chose klobuchar or kamala as vice presidential candidate😁
192, sen harris needs to be ag sen klobuchar is better vp pick as she helps add to the electoral college… 
193,i really want klobuchar as vp i do not mind that she eat salad with a comb
194,why does amy klobuchar seem much more likeable and real to me now that she's no longer a candidate msnbc thelastword
195, back bernie but she will not she has proven herself to be a corp dem and is specifically still in the… 
196, agreed i am convinced that amy klobuchar was the best offering too bad the media was too stupid to help
197, that's fair other people have different priorities of c… 
198,"amy ""we need to elect a woman president so she endorsed a man"" klobuchar is on msnbc as a biden surrogate"
199,"amy klobuchar looks exhausted i hope she takes a few days of self care
amyklobuchar"
200, days ago buttigieg klobuchar and bloomberg were still in the race
201, yes because buttigieg and klobuchar were… 
202,"bernie voters: if biden is nominated he & dnc cheated klobuchar warren & buttigieg helped we’re staying home
b… "
203, can you ask senator klobuchar why she was so offended when bloomberg asked her to step out of the race bu… 
204,"biden: ""we won minnesota because of amy klobuchar""

someone told me tonight that after amy endorsed him her entire… "
205, endorsements from amy pete and beto it looked like unity it looked like a group who coul… 
206, i'm assuming that's part of the challenge the model misestimated the effect of buttigieg… 
207, oh yeah and beto pete klobuchar bloomberg super pacs et al have spent nothing whatsoever that… 
208, klobuchar young female helps with the midwest… 
209,"i'm forwarding this article for all the amy fans in the twitter worldm
an inside look at how amy klobuchar decided… "
210,amy klobuchar is very openly auditioning for vp right now and it's nauseating
211,i bet biden is gonna try to absorb bloomberg and or warren next since half of warren supporters are willing to vot… 
212,sen klobuchar made one mistake and it cost her the campaign/candidacy almost overnight 
213,"joe ""women dont have final say about their bodies"" biden

pete ""i systematically erased black people from my police… "
214," from the very beginning my top were women 
warren was the most capable
harris was the toughest 
klobuch… "
215,i want kamala for vp sally yates for ag and amy klobuchar for majority leader
216,does anyone else see the pain amy klobuchar is in my heart goes out to her i know she campaigned not for power b… 
217,"lastword klobuchar

gosh not the blizzard again 🙄"
218,amy klobuchar is so badass loving this interview with genuine kind smart decent leader are the word… 
219,i was so hoping that we would not hear anymore from amy klobuchar but no
220, elizabeth warren is more stubborn and arrogant than yang buttigieg and klobuchar who all ended their… 
221, do not let the dnc push you out run independent regardless i do not want to vote for their power k… 
222, people can be sexist everywhere not only ma but blaming her poor results solely on mi… 
223,i wish kamala warren and klobuchar were the last candidates running for the democratic presidential nomination one days
224,listen i ride for bernie sanders i always will however i’ll say this if you want warren that’s fine with me… 
225,the other day my parents were watching the news and i heard buttigeg and klobuchar's names said aloud for the first time ever and i hated it
226, her environmental record is just fine… 
227,honestly i could see a biden/klobuchar ticket and would support 
