,text
228,"it's stunning to watch unfold

the phrase ""dumbingdown' applies
people can see when it is happening with gop ye… "
229, and i’m a warren supporter but i’m sad that the same group has been in charge for my entire life
230,"rando scholar 

drucilla cornell has a reputation and credibility among academics warren can only dream despite he… "
231, sen warren had a choice to make to start her campaign be her slightly leftofcenter self or… 
232,"""a vote for warren is a vote for (centrist candidate)"" we should be able to vote our heart at some point in this p… "
233,the important thing is to learn and grow that journey should be spotlighted: show continuously that you know you'v… 
234,warren has apologized for wrongly claiming native american ancestry she could do more she knows she was wrong ab… 
235,if she had not said anything on it then she could have been cheered for not taking any pac money and if the circums… 
236,_va_ i respect your choice for a candidate elizabeth warren is definitely a good candidate i dont real… 
237,i’ve totally prepared myself to wake up wednesday morning to an email from warren saying she’s suspending her presi… 
238, riiight apparently you did not read beyond the headline there's no men… 
239,) super pac money folks should be able utilize the rules as they are to best affect their chances to win bernie'… 
240,but let's be fair warren's not perfect here's some thoughts i have about complaints regarding her these have bec… 
241,"if ""she used to be a republican"" turns you off warren i would counter ""who better to try and convert a republican… "
242,i also think that background of growth allows for someone to better speak to people who have might just be starting… 
243,"committed 

welcome to the big shots live slam series:

big shots elite south carolina warren

jason warren team h… "
244," i'm not here to criticize warren but can we please stop using ""old white man"" to describe bernie sand… "
245,/ my experience with the nevada campaign was nothing in comparison to the six woc who left the campaign after bei… 
246,) warren can be flexible and has shown growth and change in the right direction for the majority of her adult life… 
247,warren has no chance 
248,warren can build collations with people who do not agree with her and can create real tangible results one example… 
249, bernie is an ideologuehe has great ideas (livable wage medall higher ed deb… 
250, but biden is not going to drop out and endorse bernie which warren presumably would be do you think amy a… 
251,i cannot wait for the us election to be over so i can back to no one being called warren doing anything of note… 
252,there’s no reason to be voting with anything other than your heart in the primary that’s the point i’ve heard a f… 
253,i truly believe if % of our leaders were women we would have a much different and better nation it's ridiculou… 
254, this was not the first instance of matthews doing this type of thing there were other things a… 
255,) we have inequalities created by disproportions of representation regarding wealth race and gender both warren… 
256," thank you for this super positive totally not toxic post
as a warren supporter this is the kind of movement i could join"
257, the job this year is to beat trump warren had her chance to make her case it's over
258,political thread twitter is worthless for coherent discussions of anything important but i want to share in case i… 
259, warren anyonewarren patriarchy bullshit is what this is
260,in other news i voted early for warren
261, why would you do this such a let down liz warren deserves your backing
262,maybe just my feed but i feel like i’m seeing a lot of convoluted justifications for warren>sanders it’s okay to… 
263, with all due respect no he's not elizabeth warren is
264,hilarious to assume any of those two will beat tr*mp vote warren 
265, warren can not get poc voters still no good argument how she's a stronger candidate than bernie based on that alone
266,chris has badgered women & shown otherwise poor judgement or so i have read sure was hard on elizabeth warren in… 
267,_polling need to delete biden and warren asap
268, elizabeth warren never fails to piss me off she just can’t resist making snarky… 
