,text
197," has won americansamoa
you can not make this shit up
supertuesday"
198,can’t believe they somehow let me vote three times today lmao fake ids came in clutch notmeus supertuesday
199,did the thing go do the thing supertuesday 
200,wow and all the people are so giddy that biden is having a “big night” and he seems viable aga… 
201,you can smell the desperation of the media trying to paint the supertuesday results as favoring biden when eve… 
202,biden overperforming in virginia: with % inhe has surpassed clinton's total by k bernie down k so farsupertuesday
203,how long till they pull out the “super delegates” supertuesday
204,real quick: i recognize the ~strategy~ but what does it say about society that in the face of vile … 
205,🇺🇸 in my opinion you are seeing people vote 🗳 and go to the polls deciding that despite our differences we can wo… 
206,bloomberg's m tv ad campaign has failed to break him into the race although he is projected to win american samoa supertuesday
207,"will bloomberg drop out tomorrow

supertuesday supertuesday"
208,"let’s get something straight virginia was territory since june 

go back and watch his visits… "
209,is it too early to say i'm gonna kms 🤦🏾‍♀️ supertuesday supertuesday 
210,supertuesday the future of the 
211,americans do not need to pretend we are living in this is we need progressive leaders who will move us fo… 
212,"why is the party ""abandoning"" young bernie bros to try to rebuild obama electorate

there's always… "
213,"now newsrooms across the nation are getting their “election day coverage” pizza 🍕 
supertuesday… "
214,wait is still running for president why supertuesday
215,the circular firing squad has loaded its rifles with old ideas and no principles when the dust settles their true… 
216,⁦⁩ watchparty 🇺🇸 supertuesday ⁦⁩ vs ⁦⁩ 
217,alright so where are we at with super tuesday i can’t keep up while working someone inform me supertuesday… 
218,make time to do your civic duty today go vote supertuesday votebiden votetrumpout 
219,expected supertuesday 
220,"texas % reporting sanders % lead nyt: maybe sanders 

nc % reporting biden % lead nyt: biden wins

supertuesday"
221,hey please explain where gabbard is getting the delegate and what you mean by candidates meeting thresh… 
222,we are all in for let’s do this joebiden supertuesday 
223,it looks like it's a toss up between biden and sanders right now supertuesday
224,"please read my thoughts on the supertuesday results tonight + bernie vs biden:

supertuesday bernieorbust"
225,if there is one thing we’ve learned from the bloomberg campaign it’s that mm only buys you america samoa supertuesday
226,"i hope biden is not viable in texas n california

bernie notmeus supertuesday supertuesday"
227,thread for all the africanamericans and voters of color who are carrying through supertuesday 
228,here's hoping reason prevails south of the border supertuesday 
229,only % percent reporting in nc biden %/bernie % bloomberg % again the media is doing the most supertuesday supertuesday
230,"still happy bloomberg spent million for no reason

supertuesday supertuesday supertuesdayresults bloomberg"
231,can we reflect on how racist the news media is “what did the whites do what did the blacks do what did the h… 
232,"hillary clinton on npr today ""those who are trying to tear our country apart frankly on both the right and the l… "
233,"can any reputable news outlet confirm this accusation
 
supertuesday "
234,the uptown will be watching super tuesday results join us :) supertuesday oaklandpolitics election @… 
235,supertuesday me & pops doing our part 
236,it’s so massively disappointingyou can’t bitch if you don’t show up supertuesday 
237,"starting off super tuesday right

our experts will break down the results and implications for each campaign come… "
238,looks like an exact repeat of may be in order a moderate dumbass against a facist pig this sounds like low v… 
239,"well warren is done is not she 

supertuesday"
240,what would a biden & buttigieg administration do for hispanics here's mayor buttigieg's record on hiring economi… 
241, saying biden is doing fine because elizabeth destroyed bloomberg and not mentioning dest… 
242,how can the news really call any election results tonight don’t we have to wait for all mailin ballots to be counted supertuesday
243,biden out here looking like rocky balboa supertuesday
244,it's crazy how well biden is doing considering how little money he spent and how little campaigning he's done in th… 
245,ah the joyous sound of sanity back in our politics i feel hope happiness relief all the feels in knowing we are… 
246,bernie and his team are going to have to dial it up and go back to the drawing board after tonight's debacle not l… 
247,supertuesday obama's policy of black economic exclusion name one policy that he had that help narrow the racial w… 
248,change comes from the people not from the establishment supertuesday supertuesday berniesanders
249,"in case you were wondering what billion in ads buys you

 wins big in samoa

next stop… "
250,first time voting today go vote now bernieforpresident bernie berniesanders supertuesday… 
251, yep the dnc got everyone to support biden leaving bernie out to dry then they told warren to stay… 
252,jim clyburn the kingmaker of south carolina completely changed the game in this election supertuesday
253,nonstop foxnewsradio execution coverage listen live >> supertuesday 
254,van jones is finnnnnnnnnnnnnnnee cnn supertuesday electionday bernieforpresident voteforbernie 
255,joe biden might actually be in this nominationsupertuesday supertuesday
256,i’ll be updating these posts on and updating live on the radio through the night you’ve still got … 
257," is going to be demonized for this action for a long time
staying in with no chance
taking… "
258, loyal democrats are stuck between a rock (dumb as a rock biden) and a hard place (man who clearly ha… 
259,all delegates matter keep on winning you got this supertuesday supertuesday… 
260,"abdul doing alot of spinning on cnn to discount the massive wins biden has had so far

a reminder bernie endorsed… "
261,oh warren destroyed bloomberg for bernie she never thought it would benefit biden… 
262,eyes are on tn at the moment for a state thats interesting located relatively large and got next to no coverage… 
263,can someone please explain why they keep calling states for biden with % reporting supertuesday feelthebern supertuesday
264, let me get this straight every dem wants to abolish the electoral college but they are totally fi… 
265,on tour eating great & living greater🌎 supertuesday tour life cheliv batoresign ivoted 
266, maybe we should vote for the man who got coverage for ebola & coronavirus when he led the congress to pass… 
267, gives credit for obliterating chance of winning interesting it's not translati… 
268, _sellers how am i a troll when the person on my profile picture is me in elementary school an… 
269,president joe biden vice president kamala harris a majority in both houses of congress big fucking things can ha… 
270,bloomberg wins americasamoa if that’s his only win that means each vote costs him roughly roughly /… 
271,its :pm est bernie voters get in those voting lines in ca tx make those lines even bigger let's do this yal… 
272,warren not even in second place in her home state what a waste of a once alleged progressive career… 
273,biden wins alabama and i helped 🇺🇸 supertuesday 
274,"results:
president wins vermont north carolina alabama oklahoma massachusetts and tennessee
o… "
275,bernie is rising in tennessee supertuesday supertuesday
276,"yes now we have va nc and al and we're no longer under the threat of bernie or bloomberg
✊🏾🙌🏾💙🙌🏾… "
277,can’t deny the beauty that is our city detroit supertuesday 
278," bernie berniesanders bernieorbust bernieorvest supertuesday bernieortrump

do not go g… "
279,"finish the sentence:

supertuesday is

supertuesday politicslive politics cnnelection electionday election"
280,am i allowed to comment on the democrat primary elections if i am not a canadian supertuesday
281,listen live >> supertuesday 
282,what an arrogant ahole that terry mcauliffe is on cnnelection right now makes me want to like berniesanders now… 
283,if america wants an old white man to be president they should elect my paw paw supertuesday
284, go joe supertuesday 
285,biden didn’t win anything the other candidates just showed themselves to be misfit toys so biden is last man sta… 
286,warren is so unlikable her own state rejected her tonight no one likes a angry bitch who lies about everything in… 
287,other places nearby where the lines aren’t as long supertuesday lavotes californiaprimary ucla… 
288,they called it with votes counted trump wins alabama supertuesday supertuesday 
289,"after we waited days for primary results they're calling wins like lightning strikes stay in line and vote
bernie supertuesday"
290,"black folk voting for a guy that started his campaign bragging about working with segregationist

smh… "
291,alabama goes for supertuesday 
292,"no secret now that the democrats are running against bernie rather than trump

republicans… "
293,global/structural capitalism (marketbased ideology) failure to solve pressing paramount problems is a tipping p… 
294,my prediction is that will win this election hands down supertuesday supertuesday 
295,fuck you your shitty legacy as president is not worth risking another years of trump you're admin… 
296,"will warren drop out tomorrow 

supertuesday supertuesday"
297,"have you ever met someone who liked their health insurance 

bernie bernie supertuesday supertuesday… "
298,"the vegan and the feminist on supertuesday 

vegan tulsigabbard is getting good numbers (and her face on cn… "
299,telling: is barely winning % of his home state and he’s the the won to beat … 
300,ok friends remember california will not even finish counting their votes for days/weeks biden will be ahead early a… 
301, get the hell out of the race tulsi what is this about ego supertuesday supertuesday 
302,counting has halted in nc supertuesday
303,what’s so funny is is really the only candidate that actually would have given potus a real fight… 
304,politics twitter right now democraticprimary supertuesday supertuesday 
305,"supertuesday multiple choice for dummies

what is the best chance for change in america
a) rich white male a… "
306,awaiting results of supertuesday as polls begin to close 
307,early supertuesday returns: biden wins alabama virginia north carolina sanders takes vermont
308,i don’t know why i’m watching supertuesday coverage i don’t care the fix is in and it won’t matter come november anyway
309, he's the friend nobody likes but always gets a pity invite to every event supertuesday supertuesday
310,"vote
polls don’t close for another minutes 🗳 

supertuesday minnesotaprimary 
ivoted 
supertuesday… "
311,of course the fact that biden family is corrupt as heck should not have anything to do with it right vote red or… 
312,not my art but supertuesday bernie honk untitledgoosegame 
313,real time (as close to it) race factor beat trump tenn sad devastation warren and the effect buttigieg and klob… 
314,minimikebloomberg striking out bigly today supertuesday supertuesday
315,looks like black voters are overwhelmingly rejecting tonight supertuesday supertuesday
316,"roland martin wearing trad is everything right now on rolandmartinunfiltered
supertuesday supertuesday "
317,worry not bernie fam biden was projected to sweep the south just you wait bernie will win with the west… 
318,i’m trying to be hopeful but i’m terrified the establishment tends to do whatever it takes to get what it wants… 
