,text
306, i agree my heart is breaking about the possible exit of elizabeth warren and i was thinking that i would… 
307, _marie_holt … 
308," wrong for this warren voter and peeps i know will flip from warren to biden

love warrens practical na… "
309, going to be hard going forward without the hope that elizabeth warren gave us in our futu… 
310, don’t get me wrong warren ran a great campaign committed to making progressive goals a reality and i… 
311,fear stole thousands of votes from warren after amy and pete dropped out but let's keep talking about how wronged bernie was
312, i'm working making peace with this if i come full circle by march i may switch from warren to sanders
313," no wonder warren's campaign failed

the liz lads are way too to… "
314,i’m voting for who i believe is the best candidate and warren isn’t it 
315, dude warren is in it to win just like every other candidate she has a right to choose when to drop out or stay in
316, i voted for warren but if she drops out it will be joe biden
317,_hamilton well as a warren supporter i get all that and share in the frustration for sure but i still mai… 
318, and if that doesn’t describe you personally i apologize but i see you over there tweeting about h… 
319, ditto i’m a hardcore warren supporter who will move to the biden team if need be i don’t know why… 
320, warren did not get a fair shake from the media i feel bad for her and her supporters… 
321," no one's forgetting that donald trump is still the corrupt amoral serially lying failure he always was
'ret… "
322, to be clear: if people want to troll warren’s account this way i agree—it’s ugly and counterproductive b… 
323, i can not come up with a rationale for staying in from warren's perspective that makes sense… 
324, i don’t know what she’ll do but if the rolls were switched do you think bernie would’ve endorsed warren
325, hey i’m a woman who’s pro bernie but was sympathetic to warren until she decided to pull the “bernie is sexis… 
326, so sorry erin all my best ❤️
327, refresh my memory fam warren endorsed hrc during the primaries or the general
328,people are grieving over lizzo warren and im like ok but what about my baby daddy julian who dun kept her name in h… 
329, i'm catching up on the dd warren series right now amazes me how lisa gardner truly improves with every bo… 
330,_petkanas bernie has never trashed warren ever she has thrown him under the bus a time or two
331, she’s not splitting the progressive vote many warren voters will swing to biden myself included… 
332,warren reassesses path forward after dismal super tuesday 
333, you're entitled to that narrative to me () states remained and centerleft warren had every right t… 
334,_sirtis it’s too bad they couldn’t rally around warren who is between bernie and biden
335,_in_america that’s bullshit i’m a black woman & essentially a socialist warren is a better c… 
336,you can still support bernie without discrediting or insulting warren
337," 
tell bloomberg that 🤷‍♂️"
338,join the angry elizabeth warren supporters who i told last week that they were basically the same people who were s… 
339," i’m a warren fan not a sanders fan 
at least biden is a calming presence better… "
340, _ doesn’t everyone have opinions about the candidates we all have favorites though warr… 
341,having an overly optimistic moment thinking that forgiving warren and putting her on as vp might be enough to win the nom
342, you are so right you never know out of voters yrs old that i know voted this morning i was… 
343,first people calling warren mummy and now calling biden a piece of furniture when will this white metaphor madnes… 
344, when edwards left the field he finessed his power to push obama left on health care warren need… 
345,(languidly in a brain fog bleary and numb) elizabeth warren is queer
346,every dude voting for warren fucks through the hole in his boxers
347, i prefer warren
348, bernie has created a movement that no one has ever witnessed before he has never said a bad word… 
349,_ntologist but when it comes down to it nah we’re not going to support biden even if bernie… 
350, here you go f warren now what that being said out of respect for bernie i'll leave it be your turn
351, bernie needs to announce warren as his vp in a couple days or he's toast needs to shake up the… 
352, so all the bernie supporters 'intensely pressuring' warren to drop out in aid of… 
353, i did not say any of that your opinion is not foolish i just happen to disagree… 
354,when a candidate in the party doesnt toe the party line they are marginalized (warren) flout the party you get di… 
355, is it a warren endorsement oh wait that should have been months ago
356,i am comforted by the fact that if warren does not win she will still be in the senate and will raise hell to get t… 
357, he has a strong donor base of college educated whites (oh hey funny how they say that's bad when warren has… 
358, a lot of hillary voters flocked to warren we like her we don’t like him i’d never consider voting for him over biden
359,i don’t understand what’s not clicking for warren supporters you liked her but she’s clearly not climbing the polls… 
360, i was considering between voting for you and warren despite my husband got mailings frm ur campaign… 
361, duboce triangle for warren
362," yeah :( super frustrated
i’m still waiting my turn to even vote and don’t even know what the field will… "
363, when chief warren comes down from the mountain smoking her perfomat… 
364, i'm no… 
365, i’m gonna giggle when warren endorses biden i’m not convinced she’ll endorse sanders she went with hillary in 🤷🏽‍♂️
366, so many women before us have started a fire warren just poured gasoline o… 
367," ""for fucks sake"" as if twitter has not been littered all day with men blaming warren for bernie's fa… "
368,it’s too bad liz warren is not seen more as a serious candidate she isn’t my first choice but damn she has some… 
369, i think i represent both of those i would love to see a woman president i have also followed sen… 
370,in coronavirus plan warren focuses on workers' rights and protecting the uninsured 
371, i’d be ok with this but warren is a democrat and she will side with the democrat
372, what what is warren's solution if it's not public option or ma… 
373, i think you do not understand the situation if bernie becomes the d nomine… 
374,_stoffel biden chooses better + less hateful people than bernie imo even if berni… 
375,"i h the warren crowd 
i’m not going to vote for someone i disagree with bc she’s a woman"
376, elizabeth warren needs to stay in the race and not even consider endorsements presidentwarren
377," ""wish bernie had stepped aside for the smarter & fitter warren who gets both process &… "
378,bernie sanders says he’d legalize cannabis by executive order can he do that via … 
379," sanders himself clearly said warren should have all the time she needs

and h… "
380,i love how the dem party has come together over the last years to decide that we need a pres who isn’t a sexist… 
381, warren launched her political career to battle biden’s horrible bankruptcy bill and against the kind of… 
382, remember when we started following each other because we were both defending warren seems like a long time ago
383, i'm telling you that right now in march of elizabeth warren has placed… 
384, how do you think warren feels right now 
385, wowpure delusion from warren fans no wonder she is still in it
386,warren/harris can definitely beat trump/asshole
387,@__snittykitty__ i support warren as well but biden is my second choice doubt warren would… 
388, biden has been compared john mccain bush & romney day all from msm he can not b… 
389, _lively… 
390,my attempt at political satire but srsly if sanders or warren can’t motivate the youth demo to vote for them then… 
391, i aint got nothing against warren
392, based on that logic bloomberg took votes from biden and so did klobuchar and buttegieg before they drop… 
393, % of warren supporters will not vote for sanders called a liar by sanders on the debate stage war… 
394,another meaningless policy according to warren and biden supporters is whether this fascist organization is allow… 
395, i did not direct fire at you i simply said i think calling for things like this (and you were not j… 
